user_id,install_date,country,platform,acquisition_channel,device_tier,archetype
41,2024-03-11,AU,iOS,Facebook Ads,high,non_spender
42,2024-01-01,CA,iOS,Google Ads,high,non_spender
43,2024-03-28,AU,Android,Facebook Ads,high,non_spender
44,2024-03-21,IN,Android,TikTok,high,minnow
45,2024-02-04,UK,Android,TikTok,low,minnow
46,2024-01-05,IN,iOS,Organic,mid,dolphin
47,2024-02-10,US,iOS,Facebook Ads,low,dolphin
48,2024-03-13,US,iOS,Facebook Ads,low,non_spender
49,2024-02-03,US,Android,Organic,high,non_spender
50,2024-01-23,IN,Android,TikTok,low,minnow
51,2024-02-06,AU,iOS,TikTok,low,minnow
52,2024-03-26,CA,Android,Facebook Ads,low,dolphin
53,2024-03-05,US,Android,Google Ads,mid,non_spender
54,2024-02-16,CA,Android,Organic,high,minnow
55,2024-01-01,US,iOS,TikTok,high,minnow
56,2024-01-14,UK,iOS,Facebook Ads,low,non_spender
57,2024-01-09,IN,Android,Facebook Ads,mid,minnow
58,2024-03-30,IN,Android,TikTok,low,non_spender
59,2024-03-17,US,Android,Organic,low,non_spender
60,2024-02-21,AU,iOS,Organic,low,non_spender
61,2024-01-04,IN,Android,TikTok,mid,dolphin
62,2024-01-23,IN,Android,Organic,low,non_spender
63,2024-01-15,CA,iOS,TikTok,mid,minnow
64,2024-02-05,CA,Android,TikTok,high,dolphin
65,2024-03-11,AU,Android,Facebook Ads,low,non_spender
66,2024-03-26,UK,iOS,Organic,high,dolphin
67,2024-02-11,AU,iOS,Google Ads,low,minnow
68,2024-02-26,US,Android,Facebook Ads,low,non_spender
69,2024-01-28,AU,iOS,Facebook Ads,low,minnow
70,2024-02-13,AU,iOS,Facebook Ads,mid,non_spender
71,2024-03-02,US,iOS,Organic,high,non_spender
72,2024-03-29,US,Android,Google Ads,mid,non_spender
73,2024-01-01,IN,Android,Facebook Ads,mid,non_spender
74,2024-03-02,CA,iOS,Google Ads,mid,non_spender
75,2024-03-17,UK,iOS,Organic,mid,minnow
76,2024-03-10,AU,iOS,Organic,high,non_spender
77,2024-01-09,IN,Android,Facebook Ads,mid,non_spender
78,2024-02-20,US,iOS,Google Ads,mid,non_spender
79,2024-01-24,IN,Android,Google Ads,high,dolphin
80,2024-02-01,AU,iOS,Google Ads,high,non_spender
81,2024-02-21,US,iOS,Google Ads,low,non_spender
82,2024-02-27,US,iOS,Google Ads,mid,dolphin
83,2024-02-08,AU,iOS,Google Ads,low,non_spender
84,2024-02-25,UK,Android,Google Ads,low,non_spender
85,2024-01-02,US,Android,Google Ads,low,non_spender
86,2024-02-23,US,Android,Facebook Ads,high,non_spender
87,2024-01-01,UK,iOS,TikTok,high,non_spender
88,2024-01-02,CA,iOS,Organic,low,non_spender
89,2024-03-30,IN,iOS,Google Ads,high,whale
90,2024-02-01,AU,iOS,TikTok,low,non_spender
91,2024-02-24,US,Android,Google Ads,low,minnow
92,2024-01-17,UK,iOS,Facebook Ads,high,minnow
93,2024-01-24,US,Android,TikTok,high,non_spender
94,2024-03-10,IN,iOS,Facebook Ads,low,non_spender
95,2024-01-16,CA,iOS,Facebook Ads,high,minnow
96,2024-02-28,UK,Android,Facebook Ads,mid,non_spender
97,2024-01-03,IN,iOS,TikTok,low,non_spender
98,2024-02-28,CA,iOS,Facebook Ads,mid,non_spender
99,2024-03-30,UK,Android,Facebook Ads,low,non_spender
100,2024-01-19,US,iOS,TikTok,mid,non_spender
101,2024-03-11,UK,iOS,Google Ads,mid,non_spender
102,2024-02-02,AU,Android,Google Ads,low,non_spender
103,2024-02-08,US,Android,Facebook Ads,high,dolphin
104,2024-01-01,UK,iOS,Organic,high,minnow
105,2024-02-26,CA,Android,Google Ads,mid,non_spender
106,2024-01-23,AU,iOS,TikTok,high,non_spender
107,2024-02-11,IN,Android,Organic,high,non_spender
108,2024-01-16,CA,iOS,Facebook Ads,mid,minnow
109,2024-02-29,CA,iOS,Google Ads,high,non_spender
110,2024-01-01,UK,iOS,Google Ads,high,non_spender
111,2024-01-12,UK,Android,Google Ads,mid,non_spender
112,2024-02-01,UK,iOS,Facebook Ads,mid,non_spender
113,2024-01-09,CA,iOS,Google Ads,mid,non_spender
114,2024-01-19,AU,iOS,Google Ads,mid,minnow
115,2024-01-03,IN,Android,Google Ads,mid,minnow
116,2024-02-23,CA,Android,Facebook Ads,high,minnow
117,2024-01-24,CA,iOS,Organic,mid,minnow
118,2024-03-12,AU,Android,Organic,low,minnow
119,2024-03-24,UK,iOS,Facebook Ads,low,non_spender
120,2024-03-29,US,iOS,Facebook Ads,mid,minnow
121,2024-01-18,AU,iOS,TikTok,mid,non_spender
122,2024-03-22,AU,iOS,TikTok,mid,non_spender
123,2024-02-04,CA,iOS,Facebook Ads,high,minnow
124,2024-02-10,US,iOS,TikTok,low,non_spender
125,2024-03-08,IN,Android,Organic,high,non_spender
126,2024-01-21,IN,iOS,TikTok,low,non_spender
127,2024-01-08,CA,Android,TikTok,high,minnow
128,2024-01-17,AU,Android,TikTok,low,non_spender
129,2024-02-17,CA,Android,Google Ads,low,non_spender
130,2024-03-26,UK,Android,Facebook Ads,mid,non_spender
131,2024-01-30,CA,iOS,Google Ads,low,whale
132,2024-02-20,UK,Android,Google Ads,high,dolphin
133,2024-01-27,US,iOS,Facebook Ads,low,non_spender
134,2024-01-21,CA,iOS,Facebook Ads,low,non_spender
135,2024-01-28,CA,Android,Google Ads,high,minnow
136,2024-03-09,CA,Android,Organic,low,non_spender
137,2024-02-17,CA,Android,Organic,high,non_spender
138,2024-02-04,CA,Android,Organic,mid,minnow
139,2024-01-17,UK,Android,TikTok,high,whale
140,2024-01-30,AU,iOS,TikTok,low,dolphin
141,2024-01-06,UK,Android,TikTok,low,non_spender
142,2024-02-06,CA,Android,TikTok,high,dolphin
143,2024-02-15,IN,Android,Facebook Ads,high,dolphin
144,2024-02-29,AU,iOS,TikTok,high,minnow
145,2024-03-03,AU,iOS,Organic,high,non_spender
146,2024-02-01,CA,iOS,TikTok,low,minnow
147,2024-03-07,US,Android,TikTok,mid,non_spender
148,2024-01-25,IN,Android,Google Ads,mid,non_spender
149,2024-02-23,CA,Android,TikTok,mid,minnow
150,2024-02-15,US,Android,Organic,high,non_spender
151,2024-02-01,AU,iOS,Google Ads,low,minnow
152,2024-01-23,US,iOS,Organic,low,non_spender
153,2024-01-27,IN,iOS,Facebook Ads,low,non_spender
154,2024-03-30,IN,Android,Organic,high,minnow
155,2024-02-02,IN,Android,Google Ads,mid,non_spender
156,2024-02-17,IN,iOS,Facebook Ads,mid,non_spender
157,2024-02-11,US,iOS,Google Ads,high,minnow
158,2024-02-19,CA,Android,Facebook Ads,low,minnow
159,2024-01-13,AU,iOS,Organic,high,non_spender
160,2024-01-07,UK,iOS,Organic,mid,non_spender
161,2024-02-14,AU,Android,Google Ads,low,non_spender
162,2024-01-08,AU,Android,Organic,mid,minnow
163,2024-01-16,CA,iOS,TikTok,mid,non_spender
164,2024-03-27,CA,iOS,TikTok,low,non_spender
165,2024-03-06,AU,Android,TikTok,mid,non_spender
166,2024-03-03,CA,Android,Google Ads,low,non_spender
167,2024-01-25,US,Android,TikTok,low,non_spender
168,2024-03-02,CA,Android,Google Ads,low,non_spender
169,2024-02-27,CA,Android,Facebook Ads,mid,minnow
170,2024-02-18,IN,Android,Google Ads,mid,non_spender
171,2024-03-10,UK,Android,Organic,high,non_spender
172,2024-02-29,IN,iOS,Facebook Ads,high,non_spender
173,2024-01-08,CA,Android,Facebook Ads,high,minnow
174,2024-01-05,CA,Android,TikTok,low,non_spender
175,2024-01-06,US,Android,Facebook Ads,mid,non_spender
176,2024-02-16,IN,Android,Google Ads,mid,minnow
177,2024-02-09,AU,Android,TikTok,high,minnow
178,2024-01-13,AU,Android,Google Ads,high,dolphin
179,2024-01-30,CA,Android,Google Ads,mid,non_spender
180,2024-03-03,IN,iOS,Facebook Ads,mid,non_spender
181,2024-02-27,US,iOS,Facebook Ads,low,non_spender
182,2024-03-30,CA,Android,Google Ads,low,dolphin
183,2024-01-23,IN,Android,Facebook Ads,mid,non_spender
184,2024-01-12,IN,Android,Organic,high,non_spender
185,2024-02-27,AU,iOS,Google Ads,low,dolphin
186,2024-02-03,US,Android,Facebook Ads,high,non_spender
187,2024-02-17,CA,iOS,Organic,high,non_spender
188,2024-01-01,UK,Android,TikTok,mid,dolphin
189,2024-03-04,UK,iOS,Organic,mid,non_spender
190,2024-01-22,CA,iOS,Organic,mid,minnow
191,2024-03-07,CA,iOS,Organic,low,non_spender
192,2024-01-16,IN,Android,Organic,low,non_spender
193,2024-03-26,US,Android,Facebook Ads,high,non_spender
194,2024-03-18,CA,Android,TikTok,mid,non_spender
195,2024-02-16,AU,Android,Google Ads,high,non_spender
196,2024-03-02,AU,iOS,Organic,low,minnow
197,2024-03-16,IN,Android,Organic,low,non_spender
198,2024-03-30,IN,iOS,Organic,low,non_spender
199,2024-02-08,US,Android,TikTok,high,non_spender
200,2024-01-23,AU,Android,Google Ads,low,non_spender
201,2024-03-09,IN,Android,Google Ads,high,dolphin
202,2024-02-21,CA,iOS,Facebook Ads,mid,non_spender
203,2024-01-19,AU,iOS,TikTok,low,non_spender
204,2024-01-01,AU,iOS,Facebook Ads,mid,non_spender
205,2024-01-04,IN,iOS,Organic,low,non_spender
206,2024-03-20,UK,Android,TikTok,low,non_spender
207,2024-02-01,CA,Android,TikTok,mid,dolphin
208,2024-01-24,AU,Android,TikTok,low,minnow
209,2024-02-04,AU,iOS,TikTok,high,non_spender
210,2024-02-02,UK,Android,Organic,low,minnow
211,2024-02-12,IN,iOS,Google Ads,high,dolphin
212,2024-03-07,US,iOS,TikTok,high,minnow
213,2024-02-09,CA,Android,Facebook Ads,high,dolphin
214,2024-02-13,CA,Android,Organic,mid,non_spender
215,2024-01-12,UK,Android,Google Ads,mid,non_spender
216,2024-01-02,US,iOS,Google Ads,mid,non_spender
217,2024-02-04,CA,Android,TikTok,high,non_spender
218,2024-03-30,US,Android,Organic,mid,non_spender
219,2024-01-26,UK,Android,Organic,mid,minnow
220,2024-02-03,AU,iOS,TikTok,mid,non_spender
221,2024-01-07,US,iOS,Google Ads,high,non_spender
222,2024-03-15,CA,Android,Organic,low,dolphin
223,2024-02-05,UK,iOS,Google Ads,mid,non_spender
224,2024-02-05,CA,iOS,Organic,high,non_spender
225,2024-03-13,AU,iOS,Facebook Ads,mid,non_spender
226,2024-02-18,AU,iOS,TikTok,low,minnow
227,2024-02-05,IN,iOS,TikTok,low,non_spender
228,2024-01-24,IN,Android,Google Ads,high,minnow
229,2024-02-06,UK,Android,TikTok,mid,non_spender
230,2024-02-24,IN,Android,Facebook Ads,mid,minnow
231,2024-03-29,IN,iOS,Organic,mid,non_spender
232,2024-01-30,CA,Android,Google Ads,low,dolphin
233,2024-03-02,UK,Android,TikTok,low,non_spender
234,2024-03-29,CA,Android,Google Ads,mid,non_spender
235,2024-02-28,AU,Android,TikTok,mid,non_spender
236,2024-01-12,IN,iOS,TikTok,low,dolphin
237,2024-01-19,CA,iOS,Google Ads,high,non_spender
238,2024-03-11,CA,Android,TikTok,high,dolphin
239,2024-02-21,IN,Android,Organic,low,non_spender
240,2024-01-16,AU,Android,Organic,mid,non_spender
241,2024-01-12,US,Android,Organic,high,non_spender
242,2024-03-25,IN,Android,Facebook Ads,low,minnow
243,2024-01-23,CA,Android,Google Ads,high,minnow
244,2024-02-08,CA,iOS,Google Ads,high,non_spender
245,2024-02-11,AU,Android,Google Ads,high,whale
246,2024-01-14,CA,iOS,Organic,low,non_spender
247,2024-01-05,UK,iOS,Organic,mid,minnow
248,2024-03-15,US,iOS,TikTok,low,non_spender
249,2024-03-16,UK,iOS,Organic,mid,minnow
250,2024-02-27,US,Android,Google Ads,mid,non_spender
251,2024-01-07,CA,iOS,Facebook Ads,high,non_spender
252,2024-02-09,CA,iOS,Facebook Ads,low,non_spender
253,2024-02-19,US,Android,Facebook Ads,mid,dolphin
254,2024-03-06,AU,iOS,Facebook Ads,mid,non_spender
255,2024-02-06,UK,Android,Google Ads,high,non_spender
256,2024-01-08,US,Android,Google Ads,high,non_spender
257,2024-03-05,AU,iOS,Organic,mid,dolphin
258,2024-01-17,UK,Android,TikTok,high,dolphin
259,2024-03-29,UK,Android,Google Ads,low,non_spender
260,2024-02-05,CA,Android,Organic,low,non_spender
261,2024-01-31,CA,Android,Google Ads,high,non_spender
262,2024-02-23,UK,iOS,TikTok,mid,minnow
263,2024-03-14,US,iOS,TikTok,mid,dolphin
264,2024-02-08,IN,Android,Facebook Ads,high,non_spender
265,2024-02-14,IN,Android,Facebook Ads,high,non_spender
266,2024-02-27,US,iOS,Google Ads,mid,minnow
267,2024-03-12,US,Android,Facebook Ads,low,non_spender
268,2024-02-08,UK,Android,TikTok,low,minnow
269,2024-03-17,IN,iOS,Google Ads,high,non_spender
270,2024-03-03,AU,Android,Facebook Ads,mid,non_spender
271,2024-01-25,CA,Android,Google Ads,low,minnow
272,2024-02-07,CA,iOS,Facebook Ads,low,non_spender
273,2024-02-27,CA,Android,Organic,mid,non_spender
274,2024-02-01,US,Android,Organic,mid,non_spender
275,2024-02-16,UK,Android,TikTok,high,dolphin
276,2024-03-25,UK,iOS,Facebook Ads,mid,whale
277,2024-02-05,US,Android,Facebook Ads,high,non_spender
278,2024-01-20,US,Android,Google Ads,high,non_spender
279,2024-02-16,CA,iOS,Facebook Ads,low,non_spender
280,2024-01-14,US,Android,TikTok,low,non_spender
281,2024-01-01,US,iOS,Facebook Ads,mid,non_spender
282,2024-01-03,CA,Android,TikTok,high,dolphin
283,2024-02-26,IN,Android,Organic,mid,dolphin
284,2024-03-14,AU,Android,Google Ads,low,dolphin
285,2024-03-12,UK,iOS,TikTok,mid,non_spender
286,2024-01-24,IN,Android,Organic,high,non_spender
287,2024-01-08,UK,Android,Organic,mid,non_spender
288,2024-02-05,UK,iOS,Organic,mid,non_spender
289,2024-02-27,US,iOS,Organic,low,non_spender
290,2024-01-28,UK,iOS,Facebook Ads,high,non_spender
291,2024-02-10,IN,iOS,Facebook Ads,high,non_spender
292,2024-01-27,IN,iOS,Google Ads,low,minnow
293,2024-01-17,AU,iOS,Google Ads,low,non_spender
294,2024-03-24,IN,Android,Facebook Ads,low,non_spender
295,2024-01-29,US,iOS,Organic,mid,non_spender
296,2024-02-04,IN,Android,Organic,low,minnow
297,2024-03-22,UK,iOS,Facebook Ads,high,non_spender
298,2024-03-09,CA,iOS,Organic,mid,non_spender
299,2024-03-06,CA,Android,Organic,mid,non_spender
300,2024-01-30,AU,iOS,Organic,high,minnow
301,2024-01-05,AU,Android,TikTok,high,non_spender
302,2024-02-02,US,iOS,TikTok,mid,minnow
303,2024-01-18,CA,iOS,TikTok,high,whale
304,2024-02-18,CA,iOS,Organic,mid,non_spender
305,2024-01-26,AU,iOS,Organic,low,non_spender
306,2024-03-26,UK,Android,TikTok,high,minnow
307,2024-02-18,AU,Android,TikTok,high,minnow
308,2024-01-01,AU,Android,Organic,high,non_spender
309,2024-02-24,US,iOS,TikTok,mid,minnow
310,2024-03-21,IN,Android,Google Ads,mid,non_spender
311,2024-01-05,CA,Android,Organic,mid,whale
312,2024-02-22,CA,Android,Google Ads,mid,non_spender
313,2024-02-22,IN,Android,Organic,low,dolphin
314,2024-03-14,US,iOS,TikTok,low,non_spender
315,2024-03-25,UK,iOS,Organic,high,non_spender
316,2024-01-01,AU,Android,Organic,mid,dolphin
317,2024-03-17,UK,Android,Organic,mid,non_spender
318,2024-03-05,AU,Android,Google Ads,low,minnow
319,2024-02-01,AU,iOS,Facebook Ads,high,non_spender
320,2024-03-12,CA,iOS,Organic,mid,non_spender
321,2024-02-03,AU,Android,Organic,mid,non_spender
322,2024-01-03,AU,iOS,TikTok,high,non_spender
323,2024-01-12,AU,iOS,Google Ads,low,minnow
324,2024-01-05,IN,Android,Google Ads,mid,non_spender
325,2024-02-26,UK,iOS,Facebook Ads,low,non_spender
326,2024-02-16,AU,Android,Organic,low,non_spender
327,2024-03-25,US,iOS,Facebook Ads,mid,non_spender
328,2024-03-15,CA,Android,Google Ads,low,non_spender
329,2024-02-07,UK,Android,Google Ads,high,non_spender
330,2024-02-07,AU,iOS,Organic,low,non_spender
331,2024-03-22,IN,iOS,Organic,mid,non_spender
332,2024-02-20,CA,Android,TikTok,high,dolphin
333,2024-02-21,CA,Android,Google Ads,low,non_spender
334,2024-03-28,AU,iOS,Google Ads,mid,dolphin
335,2024-01-30,US,Android,TikTok,high,non_spender
336,2024-02-20,UK,iOS,Facebook Ads,mid,minnow
337,2024-01-29,AU,iOS,Organic,low,non_spender
338,2024-02-25,UK,iOS,Facebook Ads,mid,minnow
339,2024-01-17,UK,Android,Organic,low,non_spender
340,2024-03-28,CA,Android,Facebook Ads,low,non_spender
341,2024-01-06,CA,iOS,Google Ads,low,non_spender
342,2024-03-17,CA,iOS,TikTok,low,non_spender
343,2024-02-12,CA,iOS,Google Ads,high,non_spender
344,2024-01-23,CA,Android,TikTok,mid,non_spender
345,2024-03-15,US,Android,Organic,mid,non_spender
346,2024-01-08,IN,Android,Google Ads,low,non_spender
347,2024-01-04,CA,iOS,Facebook Ads,mid,non_spender
348,2024-03-07,AU,Android,Organic,mid,dolphin
349,2024-01-27,UK,Android,Facebook Ads,mid,minnow
350,2024-02-19,IN,iOS,Organic,high,non_spender
351,2024-02-20,AU,iOS,Google Ads,mid,non_spender
352,2024-01-05,IN,iOS,Organic,low,non_spender
353,2024-02-11,UK,iOS,Facebook Ads,high,non_spender
354,2024-01-21,IN,iOS,Facebook Ads,high,non_spender
355,2024-01-05,CA,Android,TikTok,high,non_spender
356,2024-03-30,AU,Android,Google Ads,low,dolphin
357,2024-02-18,CA,iOS,TikTok,mid,non_spender
358,2024-02-14,UK,Android,Organic,mid,non_spender
359,2024-01-26,AU,iOS,Google Ads,mid,minnow
360,2024-03-26,CA,iOS,Organic,mid,non_spender
361,2024-03-03,UK,iOS,Organic,high,non_spender
362,2024-03-21,AU,Android,TikTok,high,non_spender
363,2024-01-01,AU,iOS,TikTok,high,non_spender
364,2024-02-21,IN,Android,TikTok,high,non_spender
365,2024-02-25,IN,iOS,TikTok,low,non_spender
366,2024-03-30,UK,iOS,Facebook Ads,low,minnow
367,2024-03-18,IN,Android,TikTok,high,non_spender
368,2024-01-26,AU,iOS,Google Ads,mid,non_spender
369,2024-02-25,UK,Android,TikTok,mid,non_spender
370,2024-01-03,AU,iOS,Google Ads,low,dolphin
371,2024-01-18,UK,iOS,TikTok,mid,non_spender
372,2024-01-15,UK,iOS,Google Ads,low,non_spender
373,2024-01-28,AU,iOS,Google Ads,mid,non_spender
374,2024-02-26,CA,iOS,Organic,mid,minnow
375,2024-03-26,AU,Android,Google Ads,low,non_spender
376,2024-02-13,AU,iOS,TikTok,high,non_spender
377,2024-01-13,UK,iOS,Google Ads,mid,non_spender
378,2024-03-08,IN,iOS,Google Ads,mid,non_spender
379,2024-01-18,IN,iOS,Facebook Ads,low,non_spender
380,2024-03-26,US,Android,Organic,high,non_spender
381,2024-01-08,AU,iOS,Google Ads,high,non_spender
382,2024-03-23,IN,Android,Facebook Ads,low,non_spender
383,2024-01-06,IN,iOS,TikTok,low,dolphin
384,2024-03-04,CA,Android,Facebook Ads,mid,non_spender
385,2024-02-25,AU,Android,TikTok,low,non_spender
386,2024-03-10,AU,iOS,Google Ads,mid,non_spender
387,2024-02-02,IN,Android,TikTok,mid,non_spender
388,2024-01-21,UK,Android,TikTok,low,non_spender
389,2024-01-04,IN,iOS,Google Ads,low,minnow
390,2024-03-02,CA,Android,Organic,high,non_spender
391,2024-01-24,AU,iOS,Google Ads,low,dolphin
392,2024-01-03,IN,Android,TikTok,high,non_spender
393,2024-02-09,IN,Android,Organic,low,minnow
394,2024-01-24,CA,Android,Organic,mid,non_spender
395,2024-03-06,US,Android,Google Ads,low,non_spender
396,2024-03-15,CA,iOS,Google Ads,low,minnow
397,2024-01-06,US,Android,Organic,high,whale
398,2024-02-20,UK,iOS,Facebook Ads,low,minnow
399,2024-03-06,UK,Android,Facebook Ads,high,non_spender
400,2024-01-08,CA,Android,Organic,low,non_spender
401,2024-02-14,US,Android,Facebook Ads,low,minnow
402,2024-03-10,AU,Android,Organic,mid,dolphin
403,2024-03-08,IN,Android,Organic,low,non_spender
404,2024-01-20,IN,Android,TikTok,low,non_spender
405,2024-02-16,US,Android,Organic,high,minnow
406,2024-01-14,AU,iOS,Facebook Ads,mid,non_spender
407,2024-02-06,CA,iOS,Google Ads,low,non_spender
408,2024-03-17,AU,Android,Facebook Ads,high,non_spender
409,2024-02-02,US,Android,Organic,high,non_spender
410,2024-01-10,AU,iOS,TikTok,mid,non_spender
411,2024-01-10,US,Android,Google Ads,mid,whale
412,2024-01-13,US,Android,Organic,mid,minnow
413,2024-03-24,IN,iOS,Google Ads,low,non_spender
414,2024-03-13,US,Android,Google Ads,high,minnow
415,2024-03-15,IN,Android,TikTok,high,non_spender
416,2024-02-07,IN,iOS,Organic,high,non_spender
417,2024-02-18,CA,iOS,Google Ads,low,minnow
418,2024-02-29,US,iOS,Organic,mid,dolphin
419,2024-03-18,UK,Android,TikTok,mid,dolphin
420,2024-03-15,US,iOS,Google Ads,mid,dolphin
421,2024-03-16,US,Android,Google Ads,low,non_spender
422,2024-01-01,UK,Android,TikTok,high,minnow
423,2024-01-22,CA,Android,Google Ads,low,non_spender
424,2024-03-12,CA,Android,Google Ads,high,minnow
425,2024-01-14,UK,iOS,TikTok,low,minnow
426,2024-02-04,CA,iOS,Google Ads,mid,non_spender
427,2024-01-05,US,iOS,Google Ads,high,non_spender
428,2024-03-18,UK,Android,TikTok,high,non_spender
429,2024-01-04,CA,iOS,TikTok,mid,non_spender
430,2024-02-11,CA,iOS,Google Ads,high,non_spender
431,2024-02-09,CA,Android,Organic,low,non_spender
432,2024-01-14,CA,Android,Facebook Ads,low,dolphin
433,2024-02-07,IN,Android,Organic,low,non_spender
434,2024-03-03,US,iOS,Google Ads,mid,non_spender
435,2024-01-25,CA,iOS,Facebook Ads,high,non_spender
436,2024-03-06,CA,Android,Google Ads,mid,non_spender
437,2024-02-20,US,iOS,Google Ads,mid,non_spender
438,2024-03-10,UK,Android,Facebook Ads,low,dolphin
439,2024-01-07,US,iOS,TikTok,high,minnow
440,2024-02-11,CA,iOS,Google Ads,mid,non_spender
441,2024-01-15,CA,iOS,Google Ads,high,dolphin
442,2024-02-02,CA,iOS,Organic,low,non_spender
443,2024-01-27,US,Android,Facebook Ads,high,minnow
444,2024-02-07,CA,iOS,Google Ads,high,minnow
445,2024-01-27,UK,iOS,Google Ads,mid,minnow
446,2024-03-08,IN,iOS,Google Ads,high,non_spender
447,2024-01-10,IN,iOS,Facebook Ads,low,non_spender
448,2024-03-14,IN,Android,Organic,mid,non_spender
449,2024-02-07,AU,Android,TikTok,high,non_spender
450,2024-02-16,IN,iOS,Organic,mid,minnow
451,2024-03-28,CA,Android,TikTok,mid,non_spender
452,2024-01-15,AU,iOS,Facebook Ads,mid,minnow
453,2024-01-05,US,Android,TikTok,high,non_spender
454,2024-03-08,AU,Android,Facebook Ads,high,minnow
455,2024-01-02,AU,iOS,Facebook Ads,mid,non_spender
456,2024-02-05,AU,iOS,Organic,high,non_spender
457,2024-02-12,IN,Android,Facebook Ads,low,non_spender
458,2024-01-20,UK,iOS,Google Ads,high,non_spender
459,2024-03-14,UK,iOS,Google Ads,low,non_spender
460,2024-01-06,AU,Android,Facebook Ads,high,non_spender
461,2024-02-16,UK,iOS,Facebook Ads,high,non_spender
462,2024-01-12,AU,iOS,Facebook Ads,high,dolphin
463,2024-03-02,AU,Android,Organic,low,non_spender
464,2024-02-29,US,iOS,Google Ads,high,non_spender
465,2024-03-08,IN,Android,Organic,mid,minnow
466,2024-02-06,AU,Android,Google Ads,mid,minnow
467,2024-01-31,IN,Android,Google Ads,mid,non_spender
468,2024-02-20,US,iOS,Facebook Ads,mid,minnow
469,2024-02-09,CA,Android,TikTok,low,minnow
470,2024-01-11,UK,iOS,Google Ads,high,non_spender
471,2024-02-15,UK,Android,TikTok,low,non_spender
472,2024-03-30,UK,iOS,Google Ads,low,minnow
473,2024-02-23,CA,iOS,Google Ads,mid,minnow
474,2024-01-01,IN,iOS,Organic,low,minnow
475,2024-02-24,UK,Android,TikTok,low,non_spender
476,2024-01-15,IN,Android,Google Ads,low,non_spender
477,2024-03-13,IN,Android,TikTok,mid,minnow
478,2024-03-14,UK,Android,Organic,low,minnow
479,2024-01-26,CA,Android,Facebook Ads,low,non_spender
480,2024-03-03,AU,Android,Organic,low,non_spender
481,2024-03-30,UK,Android,TikTok,mid,dolphin
482,2024-01-02,AU,iOS,Organic,mid,non_spender
483,2024-02-03,IN,Android,Google Ads,mid,dolphin
484,2024-02-12,UK,iOS,TikTok,low,non_spender
485,2024-02-20,AU,iOS,Google Ads,high,non_spender
486,2024-01-25,UK,iOS,TikTok,high,non_spender
487,2024-03-10,CA,Android,Organic,low,non_spender
488,2024-02-02,US,Android,Google Ads,mid,non_spender
489,2024-03-03,AU,Android,Facebook Ads,low,non_spender
490,2024-01-26,AU,Android,Organic,low,non_spender
491,2024-03-25,US,iOS,Google Ads,mid,non_spender
492,2024-03-21,AU,Android,Facebook Ads,high,dolphin
493,2024-02-18,AU,iOS,Google Ads,high,non_spender
494,2024-03-26,UK,iOS,TikTok,high,non_spender
495,2024-03-01,UK,Android,TikTok,high,non_spender
